gene,mean_score,max_score,n_links,is_deg,is_metabolic,is_trained,category
MMEL1_distal;TTC34_distal,0.190627272727273,0.4829,11,FALSE,FALSE,FALSE,Background
AL592464.1_distal,0.198507692307692,0.6349,26,FALSE,FALSE,FALSE,Background
AL589702.1_distal,0.172754545454546,0.5893,22,FALSE,FALSE,FALSE,Background
ACTRT2_distal,0.12408,0.5182,15,FALSE,FALSE,FALSE,Background
AL354743.2_distal;PRDM16_distal;AL590438.1_distal,-0.04163,0.2912,10,FALSE,FALSE,FALSE,Background
ARHGEF16,0.17254,0.3504,5,FALSE,FALSE,FALSE,Background
MEGF6_distal;AL512413.1_distal,0.198833333333333,0.3657,6,FALSE,FALSE,FALSE,Background
MEGF6,0.10356,0.5767,35,FALSE,FALSE,FALSE,Background
MEGF6_distal,0.1322,0.1322,1,FALSE,FALSE,FALSE,Background
TP73_distal;AL136528.1,-0.0705857142857143,0.5096,14,FALSE,FALSE,FALSE,Background
AL354743.1_distal;PRDM16_distal,0.23272,0.5364,5,FALSE,FALSE,FALSE,Background
C1orf174_distal;DFFB_distal,0.2945,0.326,3,FALSE,FALSE,FALSE,Background
AL805961.1_distal,0.40166,0.4926,5,FALSE,FALSE,FALSE,Background
AL139823.1_distal,0.247663157894737,0.4973,19,FALSE,FALSE,FALSE,Background
AL365255.1_distal,0.16744,0.3352,15,FALSE,FALSE,FALSE,Background
KCNAB2_distal;NPHP4_distal,0.106244444444444,0.4556,9,FALSE,FALSE,FALSE,Background
Z98259.2,0.307688888888889,0.3785,9,FALSE,FALSE,FALSE,Background
NPHP4;KCNAB2,0.205091666666667,0.3415,12,FALSE,FALSE,FALSE,Background
KCNAB2_distal,0.0184271739130435,0.477,92,FALSE,FALSE,FALSE,Background
CHD5_distal,-0.139244444444444,0.4066,27,FALSE,FALSE,FALSE,Background
RPL22,0.237089189189189,0.5538,37,TRUE,FALSE,FALSE,Other DEG
ACOT7_distal;GPR153_distal,0.3319,0.6862,8,FALSE,FALSE,FALSE,Background
ACOT7_distal,0.0655907692307692,0.5029,65,FALSE,FALSE,FALSE,Background
ACOT7,0.254024,0.5545,25,TRUE,FALSE,FALSE,Other DEG
ACOT7;AL031848.2,0.155514285714286,0.3745,14,FALSE,FALSE,FALSE,Background
HES2,0.3469125,0.3867,8,FALSE,FALSE,FALSE,Background
HES2_distal,0.266013636363636,0.5198,22,FALSE,FALSE,FALSE,Background
HES2;ESPN,0.2993625,0.4329,16,FALSE,FALSE,FALSE,Background
AL031848.1_distal;ESPN_distal,0.283995652173913,0.4277,23,FALSE,FALSE,FALSE,Background
ESPN_distal;AL031848.1_distal,0.212433333333333,0.5489,18,FALSE,FALSE,FALSE,Background
ESPN,0.239246153846154,0.5901,26,FALSE,FALSE,FALSE,Background
ESPN_distal,0.267223529411765,0.6424,17,FALSE,FALSE,FALSE,Background
TNFRSF25_distal;ESPN_distal,0.202,0.7823,20,FALSE,FALSE,FALSE,Background
TNFRSF25;PLEKHG5_distal,0.178605,0.7311,20,FALSE,FALSE,FALSE,Background
TNFRSF25_distal;PLEKHG5_distal,0.218655555555556,0.4249,9,FALSE,FALSE,FALSE,Background
PLEKHG5,0.0810428571428572,0.4311,28,FALSE,FALSE,FALSE,Background
PLEKHG5_distal,0.139066666666667,0.4316,9,FALSE,FALSE,FALSE,Background
AL591163.1_distal,0.27205,0.3357,2,FALSE,FALSE,FALSE,Background
CAMTA1_distal,0.2034375,0.385,24,FALSE,FALSE,FALSE,Background
VAMP3,0.156467741935484,0.519,62,TRUE,FALSE,FALSE,Other DEG
TNFRSF9_distal,0.0805821138211383,0.5567,123,FALSE,FALSE,FALSE,Background
PARK7_distal,0.0262941176470588,0.3652,34,FALSE,FALSE,FALSE,Background
ERRFI1_distal;AL034417.3_distal;AL034417.4_distal,0.0858852941176471,0.5237,34,FALSE,FALSE,FALSE,Background
AL034417.2_distal,0.102760355029586,0.6313,169,FALSE,FALSE,FALSE,Background
LINC01714_distal,0.0107572847682119,0.6337,302,FALSE,FALSE,FALSE,Background
AL358876.2_distal,0.0937417582417583,0.6272,91,FALSE,FALSE,FALSE,Background
RERE-AS1_distal;RERE_distal,0.132531481481481,0.4806,108,FALSE,FALSE,FALSE,Background
AL034417.4_distal,0.108811111111111,0.4028,27,FALSE,FALSE,FALSE,Background
RERE_distal,0.0944367816091954,0.6276,348,FALSE,FALSE,FALSE,Background
ENO1_distal,0.03709,0.5167,100,FALSE,FALSE,FALSE,Background
SLC45A1_distal,0.164582608695652,0.2803,23,FALSE,FALSE,FALSE,Background
ENO1-AS1;ENO1,-0.0225340425531915,0.4517,47,FALSE,FALSE,FALSE,Background
ENO1-AS1_distal,0.0709638888888889,0.4471,144,FALSE,FALSE,FALSE,Background
CA6_distal,0.125454954954955,0.7624,222,FALSE,FALSE,FALSE,Background
SLC2A5_distal;SLC2A7_distal,0.34502,0.5046,10,FALSE,FALSE,FALSE,Background
RERE,-0.0407887096774194,0.4707,62,FALSE,FALSE,FALSE,Background
SLC2A7_distal,0.111781196581197,0.5254,117,FALSE,FALSE,FALSE,Background
SLC2A5_distal,0.0936251162790698,0.5546,215,FALSE,FALSE,FALSE,Background
SLC2A5,0.130918518518519,0.5733,27,FALSE,FALSE,FALSE,Background
GPR157_distal,0.0809045454545455,0.4493,88,FALSE,FALSE,FALSE,Background
GPR157,0.031455,0.3946,20,FALSE,FALSE,FALSE,Background
LNCTAM34A_distal;MIR34AHG_distal,0.107910416666667,0.3794,48,FALSE,FALSE,FALSE,Background
MIR34AHG_distal;LNCTAM34A_distal,0.0626105263157895,0.6153,57,FALSE,FALSE,FALSE,Background
H6PD_distal,0.115628571428571,0.5522,42,FALSE,FALSE,FALSE,Background
H6PD,0.0753382352941176,0.4447,34,TRUE,FALSE,FALSE,Other DEG
SPSB1_distal,0.131113793103448,0.4338,87,FALSE,FALSE,FALSE,Background
SPSB1,-0.0791434782608696,0.382,23,FALSE,FALSE,FALSE,Background
BX323043.1_distal,-0.111682142857143,0.3876,56,FALSE,FALSE,FALSE,Background
LINC02606_distal,-0.0762967213114754,0.5734,61,FALSE,FALSE,FALSE,Background
LINC02606,-0.118625714285714,0.4198,35,FALSE,FALSE,FALSE,Background
