cell_type,n_deg,n_deg_with_link,CPI
Alveolar_Macrophage,6124,4754,0.776290006531679
B_cell,5792,4550,0.785566298342542
Dendritic_cell,4602,3739,0.812472837896567
Interstitial_Macrophage,5966,4628,0.775729131746564
Monocyte,5558,4394,0.790572148254768
