trained_immunity_score,condition,cell_type
-0.0461598921375992,unin_hto,Alveolar_Macrophage
0.5115172210128,unin_hto,Alveolar_Macrophage
0.338369704974543,unin_hto,Alveolar_Macrophage
0.130371313517549,unin_hto,Alveolar_Macrophage
-0.080162934925474,unin_hto,Interstitial_Macrophage
0.247765791693552,unin_hto,Interstitial_Macrophage
0.0310846569364318,unin_hto,Interstitial_Macrophage
0.0438397049956185,unin_hto,Interstitial_Macrophage
-0.0100870497298625,unin_hto,Interstitial_Macrophage
0.00060763479444409,unin_hto,Interstitial_Macrophage
-0.212432927740482,unin_hto,Interstitial_Macrophage
0.0883355348839281,unin_hto,Interstitial_Macrophage
0.355944473794783,unin_hto,Interstitial_Macrophage
-0.0750202216911973,unin_hto,Interstitial_Macrophage
0.109114413542605,unin_hto,Interstitial_Macrophage
0.463050751344747,unin_hto,Interstitial_Macrophage
0.078204326110649,unin_hto,Interstitial_Macrophage
0.1355534132895,unin_hto,Interstitial_Macrophage
0.298503338091754,unin_hto,Alveolar_Macrophage
0.238741458238738,unin_hto,Interstitial_Macrophage
0.115741394181124,unin_hto,Alveolar_Macrophage
-0.0124091149387456,unin_hto,Interstitial_Macrophage
0.0511899709861106,unin_hto,Interstitial_Macrophage
0.125241852716317,unin_hto,Interstitial_Macrophage
0.21330638579804,unin_hto,Alveolar_Macrophage
0.0253794693699642,unin_hto,Alveolar_Macrophage
0.143353444110328,unin_hto,Interstitial_Macrophage
0.250244694867981,unin_hto,Alveolar_Macrophage
0.255601727667261,unin_hto,Interstitial_Macrophage
-0.131399421136492,unin_hto,Alveolar_Macrophage
0.130785540722889,unin_hto,Alveolar_Macrophage
0.0335425097323704,unin_hto,Interstitial_Macrophage
0.135481483113657,unin_hto,Alveolar_Macrophage
-0.229445570361922,unin_hto,Interstitial_Macrophage
-0.0375020695846278,unin_hto,Interstitial_Macrophage
-0.0436828993294005,unin_hto,Interstitial_Macrophage
-0.079562047954569,unin_hto,Interstitial_Macrophage
0.194285467897238,unin_hto,Alveolar_Macrophage
-0.0693395186852247,unin_hto,Alveolar_Macrophage
-0.0133709150529634,unin_hto,Interstitial_Macrophage
0.134859908673395,unin_hto,Alveolar_Macrophage
0.0510351392099334,unin_hto,Monocyte
0.124199887410743,unin_hto,Interstitial_Macrophage
0.0253744554331505,unin_hto,Interstitial_Macrophage
-0.235670068577819,unin_hto,Alveolar_Macrophage
-0.157670374669618,unin_hto,Interstitial_Macrophage
0.31288114150803,unin_hto,Alveolar_Macrophage
0.0792830949870985,unin_hto,Interstitial_Macrophage
-0.0956426317664175,unin_hto,Interstitial_Macrophage
0.261911816673113,unin_hto,Interstitial_Macrophage
0.0596586967069303,unin_hto,Alveolar_Macrophage
-0.101866567948131,unin_hto,Alveolar_Macrophage
0.100445475211686,unin_hto,Interstitial_Macrophage
-0.2183903781752,unin_hto,Interstitial_Macrophage
0.0903667347396407,unin_hto,Interstitial_Macrophage
0.0998992216897504,unin_hto,Interstitial_Macrophage
-0.0286912818972899,unin_hto,Interstitial_Macrophage
0.0145440607039816,unin_hto,Interstitial_Macrophage
-0.0735886497074332,unin_hto,Interstitial_Macrophage
0.050243063582701,unin_hto,Interstitial_Macrophage
0.0150941827439134,unin_hto,Interstitial_Macrophage
0.354818554835661,unin_hto,Interstitial_Macrophage
0.041073868999099,unin_hto,Interstitial_Macrophage
0.0257358634648169,unin_hto,Interstitial_Macrophage
0.129762249731299,unin_hto,Interstitial_Macrophage
0.00104426834589161,unin_hto,Interstitial_Macrophage
-0.103890549556049,unin_hto,Alveolar_Macrophage
0.0698571399489731,unin_hto,Interstitial_Macrophage
-0.0491007170554204,unin_hto,Alveolar_Macrophage
-0.0153122732164757,unin_hto,Alveolar_Macrophage
-0.00029762060730093,unin_hto,Interstitial_Macrophage
0.161471091273578,unin_hto,Interstitial_Macrophage
0.131334615912389,unin_hto,Alveolar_Macrophage
0.204070509985362,unin_hto,Interstitial_Macrophage
0.0111891430684012,unin_hto,Interstitial_Macrophage
0.114471271545542,unin_hto,Interstitial_Macrophage
0.262269085965979,unin_hto,Alveolar_Macrophage
0.302628574581738,unin_hto,Interstitial_Macrophage
0.299191475157471,unin_hto,Alveolar_Macrophage
-0.00421500416045073,unin_hto,Interstitial_Macrophage
-0.00534827198839388,unin_hto,Interstitial_Macrophage
-0.115253525538408,unin_hto,Interstitial_Macrophage
-0.122334076716971,unin_hto,Interstitial_Macrophage
0.0963705657023073,unin_hto,Interstitial_Macrophage
0.0663963356684396,unin_hto,Interstitial_Macrophage
0.0619867393650787,unin_hto,Interstitial_Macrophage
0.0210831213205528,unin_hto,Interstitial_Macrophage
0.0763315533768131,unin_hto,Interstitial_Macrophage
0.374937073996127,unin_hto,Interstitial_Macrophage
0.19310476683973,unin_hto,Interstitial_Macrophage
0.00235305187340976,unin_hto,Interstitial_Macrophage
0.0446162827355917,unin_hto,Interstitial_Macrophage
-0.0892247986248916,unin_hto,Interstitial_Macrophage
0.183085100561619,unin_hto,Interstitial_Macrophage
0.325477013420313,unin_hto,Interstitial_Macrophage
-0.133377191173873,unin_hto,Interstitial_Macrophage
0.167451315036359,unin_hto,Interstitial_Macrophage
0.158001341760918,unin_hto,Interstitial_Macrophage
0.120767627073005,unin_hto,Interstitial_Macrophage
0.180286030589832,unin_hto,Interstitial_Macrophage
0.00579327914123345,unin_hto,Interstitial_Macrophage
0.0194408108502498,unin_hto,Interstitial_Macrophage
0.0776029550516049,unin_hto,Interstitial_Macrophage
0.0337029038428903,unin_hto,Interstitial_Macrophage
0.0617809910749263,unin_hto,Alveolar_Macrophage
0.178507961686785,unin_hto,Interstitial_Macrophage
0.138747861797665,unin_hto,Alveolar_Macrophage
0.0319020499739215,unin_hto,Interstitial_Macrophage
0.01576000217879,unin_hto,Alveolar_Macrophage
0.0573041455179611,unin_hto,Alveolar_Macrophage
0.101557529744101,unin_hto,Alveolar_Macrophage
0.184173522489911,unin_hto,Interstitial_Macrophage
-0.145378416353748,unin_hto,Alveolar_Macrophage
0.165439131386004,unin_hto,Alveolar_Macrophage
0.153816924346427,unin_hto,Interstitial_Macrophage
-0.0909426351138828,unin_hto,Interstitial_Macrophage
0.135069278996292,unin_hto,Alveolar_Macrophage
0.06738503541499,unin_hto,Monocyte
0.158439880354762,unin_hto,Interstitial_Macrophage
0.0551099147167019,unin_hto,Interstitial_Macrophage
-0.0415931649863672,unin_hto,Alveolar_Macrophage
-0.0944350561768822,unin_hto,Interstitial_Macrophage
0.0672745152638916,unin_hto,Interstitial_Macrophage
-0.159681315595504,unin_hto,Interstitial_Macrophage
-0.084006895205989,unin_hto,Interstitial_Macrophage
0.204092100868899,unin_hto,Alveolar_Macrophage
0.27941775605193,unin_hto,Interstitial_Macrophage
0.112619167045407,unin_hto,Alveolar_Macrophage
-0.0122007407956976,unin_hto,Interstitial_Macrophage
-0.0628143171126425,unin_hto,Alveolar_Macrophage
0.0795536202865435,unin_hto,Monocyte
0.355364773819956,unin_hto,Interstitial_Macrophage
0.183720521735551,unin_hto,Interstitial_Macrophage
0.178217194286788,unin_hto,Alveolar_Macrophage
-0.179289612845097,unin_hto,Alveolar_Macrophage
-0.139596379146335,unin_hto,Alveolar_Macrophage
0.0186927203236244,unin_hto,Alveolar_Macrophage
-0.00750952928113352,unin_hto,Interstitial_Macrophage
0.337084172766294,unin_hto,Alveolar_Macrophage
0.000648744988682282,unin_hto,Interstitial_Macrophage
0.0207435004887607,unin_hto,Alveolar_Macrophage
0.0869888913639501,unin_hto,Interstitial_Macrophage
0.109461918968001,unin_hto,Interstitial_Macrophage
-0.134909054316542,unin_hto,Interstitial_Macrophage
-0.114760748433231,unin_hto,Interstitial_Macrophage
0.0426518180100822,unin_hto,Interstitial_Macrophage
-0.0224083868909541,unin_hto,Interstitial_Macrophage
0.118601216784799,unin_hto,Alveolar_Macrophage
0.0574801512768732,unin_hto,Interstitial_Macrophage
0.277651064742527,unin_hto,Interstitial_Macrophage
0.0489591842618127,unin_hto,Alveolar_Macrophage
0.0320274461580624,unin_hto,Interstitial_Macrophage
0.207153976597911,unin_hto,Interstitial_Macrophage
-0.135786014613856,unin_hto,Interstitial_Macrophage
-0.00600953675846816,unin_hto,Interstitial_Macrophage
0.120938150369365,unin_hto,Interstitial_Macrophage
-0.0874754833935417,unin_hto,Interstitial_Macrophage
0.13462321293634,unin_hto,Interstitial_Macrophage
0.0410110776202262,unin_hto,Interstitial_Macrophage
0.377904475782758,unin_hto,Interstitial_Macrophage
0.015259321876278,unin_hto,Alveolar_Macrophage
0.0989086471414779,unin_hto,Interstitial_Macrophage
-0.0290029294969759,unin_hto,Interstitial_Macrophage
0.0269963086386998,unin_hto,Alveolar_Macrophage
0.117622441488391,unin_hto,Interstitial_Macrophage
0.0191460448267127,unin_hto,Alveolar_Macrophage
0.135912087145146,unin_hto,Interstitial_Macrophage
0.00229701475036284,unin_hto,Alveolar_Macrophage
-0.0741004048837676,unin_hto,Alveolar_Macrophage
0.119609212472962,unin_hto,Monocyte
-0.00235703488341957,unin_hto,Interstitial_Macrophage
-0.124113103841012,unin_hto,Alveolar_Macrophage
-0.0392102516513366,unin_hto,Alveolar_Macrophage
-0.126885153349428,unin_hto,Interstitial_Macrophage
0.00118368144471581,unin_hto,Alveolar_Macrophage
0.340262751406137,unin_hto,Alveolar_Macrophage
-0.0683232523483312,unin_hto,Alveolar_Macrophage
0.11731940372641,unin_hto,Alveolar_Macrophage
0.233981826835227,unin_hto,Interstitial_Macrophage
0.333345762184073,unin_hto,Interstitial_Macrophage
-0.0163801020314077,unin_hto,Alveolar_Macrophage
0.0308504659307574,unin_hto,Alveolar_Macrophage
0.257364152608205,unin_hto,Alveolar_Macrophage
0.0455895518547153,unin_hto,Alveolar_Macrophage
0.149210180744459,unin_hto,Alveolar_Macrophage
-0.010705294259029,unin_hto,Interstitial_Macrophage
0.0376018753054656,unin_hto,Interstitial_Macrophage
0.0828218968856554,unin_hto,Interstitial_Macrophage
0.0290201303709627,unin_hto,Alveolar_Macrophage
0.145391562861159,unin_hto,Interstitial_Macrophage
-0.188201238559125,unin_hto,Interstitial_Macrophage
0.0450370135749259,unin_hto,Alveolar_Macrophage
0.216089791591328,unin_hto,Interstitial_Macrophage
-0.16118528150823,unin_hto,Interstitial_Macrophage
-0.0184629450253293,unin_hto,Interstitial_Macrophage
0.187983677384922,unin_hto,Interstitial_Macrophage
-0.0495871929050629,unin_hto,Interstitial_Macrophage
0.0508758874804478,unin_hto,Interstitial_Macrophage
-0.00749350077823349,unin_hto,Interstitial_Macrophage
0.0553710203916608,unin_hto,Alveolar_Macrophage
-0.18519020834093,unin_hto,Interstitial_Macrophage
0.0795467076430724,unin_hto,Alveolar_Macrophage
-0.130119668099479,unin_hto,Alveolar_Macrophage
