cell_type,n_deg,n_deg_with_link,CPI,ms_glycolysis1,ms_hypoxia_hif11,ms_one_carbon1,ms_tca1
Alveolar_Macrophage,6124,0,0,0.0121178803932375,-0.0394439096586943,-0.0276914202588168,0.00592875108273688
B_cell,5792,0,0,-0.0559601204293473,-0.041778012184367,-0.099104502000756,-0.0330380438681032
Dendritic_cell,4602,0,0,0.0492916499755531,-0.0388561624087626,-0.0882131267539179,-0.0131026521715178
Interstitial_Macrophage,5966,0,0,-0.003937543071033,-0.0408282012374873,-0.016378471684657,-0.00520381491979507
Monocyte,5558,0,0,-0.0128597459983318,-0.0292059353248961,-0.0741794821267051,-0.0734083476387907
