p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type
4.12908252816592e-35,0.993413540774023,0.393,0.361,9.26731282621558e-31,NDUFS6,B_cell
4.21732155719963e-35,-0.482507355858161,0.127,0.216,9.46535650297885e-31,CCT2,B_cell
4.23173447447511e-35,-0.504686807753456,0.11,0.195,9.49770485451195e-31,IFI35,B_cell
4.50001720431018e-35,-0.790528360226844,0.077,0.15,1.00998386133538e-30,RRP7A,B_cell
4.56075355102514e-35,-0.695306534406754,0.058,0.125,1.02361552699208e-30,NANS,B_cell
5.33821196496435e-35,-0.765342362961106,0.097,0.176,1.1981082934166e-30,TMBIM1,B_cell
6.17311354731845e-35,-0.917021295861609,0.078,0.149,1.38549360456015e-30,REST,B_cell
7.06763484707076e-35,-1.15815616811741,0.051,0.113,1.58625996507656e-30,USP47,B_cell
8.08432473208294e-35,-0.696331160304277,0.083,0.159,1.8144458428687e-30,ZC3H11A,B_cell
8.60767018685302e-35,-0.34990685736165,0.116,0.204,1.93190549673729e-30,PPP1R11,B_cell
8.89117198054402e-35,-0.757093570769411,0.09,0.166,1.9955346393133e-30,ADPGK,B_cell
9.76213837126995e-35,-0.911743625147372,0.072,0.142,2.19101433604783e-30,SAFB,B_cell
1.05907549545966e-34,-0.885369421355037,0.06,0.126,2.37698904200965e-30,ARL6IP6,B_cell
1.08710163956571e-34,-0.448204493897033,0.106,0.189,2.43989091984127e-30,SEC13,B_cell
1.14417810771937e-34,-0.777522525942973,0.085,0.159,2.56799334496535e-30,ZFAND3,B_cell
1.27186661500721e-34,-1.00324519621294,0.068,0.136,2.85457743072217e-30,ZBTB1,B_cell
1.31576445133992e-34,-0.917890669308734,0.058,0.123,2.95310173458731e-30,CRELD2,B_cell
1.42934907472077e-34,-0.801619540383761,0.071,0.141,3.20803106330329e-30,EXOSC1,B_cell
1.52906110091763e-34,1.26945766871126,0.131,0.076,3.43182473489954e-30,SNX29,B_cell
1.69887250551354e-34,0.285897614302671,0.885,0.854,3.81294945137458e-30,COX4I1,B_cell
1.74779052985205e-34,1.46025296075159,0.757,0.805,3.92274106519995e-30,CD74,B_cell
1.81562638170056e-34,-0.571561541306997,0.134,0.22,4.07499185108873e-30,LRP10,B_cell
1.83196374587747e-34,-0.520088161338605,0.147,0.238,4.1116594312474e-30,TTC3,B_cell
1.84261352183335e-34,1.4568837282637,0.171,0.114,4.13556178840277e-30,TCEAL8,B_cell
1.91106008146625e-34,-0.272740915668155,0.204,0.316,4.28918324684285e-30,NUCB1,B_cell
1.92038972689875e-34,-0.90739802963522,0.063,0.13,4.31012270305155e-30,EPRS,B_cell
1.94805716327419e-34,-1.10695082748827,0.054,0.117,4.3722194972526e-30,ZC3H13,B_cell
1.9675274570828e-34,-0.829159920723295,0.089,0.164,4.41591862467664e-30,TROVE2,B_cell
2.00159796015371e-34,-0.590930531731201,0.13,0.218,4.49238646176898e-30,FAM133B,B_cell
2.72008157399269e-34,-1.16416113533772,0.045,0.105,6.10495108466918e-30,RNF216,B_cell
2.83781095992398e-34,-0.847084358471083,0.094,0.169,6.36918291845338e-30,TTC14,B_cell
3.02417298249199e-34,-0.834586977973349,0.062,0.129,6.78745384190503e-30,SMAD2,B_cell
3.04622983498628e-34,-0.713398022539148,0.106,0.186,6.83695824164321e-30,CELF1,B_cell
3.20974087521785e-34,-0.378361576869136,0.163,0.262,7.20394242033894e-30,MRPS6,B_cell
3.30916838296198e-34,-0.541733448257447,0.136,0.225,7.42709751871986e-30,ARF6,B_cell
3.37933716197127e-34,-0.782876078818594,0.06,0.127,7.58458432632831e-30,LRRFIP2,B_cell
3.42342786779582e-34,-0.672908498061127,0.09,0.166,7.68354150648093e-30,RPS6KB2,B_cell
3.85815675584499e-34,-0.622957389648497,0.135,0.221,8.65924702281851e-30,MYCBP2,B_cell
4.36045085436114e-34,0.237815234139385,0.921,0.877,9.78659589752815e-30,RPL7,B_cell
4.9331521531498e-34,-0.112654033837309,0.327,0.463,1.10719666925294e-29,HSP90B1,B_cell
5.16253083108399e-34,-0.397977566897896,0.094,0.173,1.15867841972849e-29,LYPLA2,B_cell
5.16707283934926e-34,-1.06934001442688,0.064,0.13,1.15969782806355e-29,CNOT6L,B_cell
5.65026885458726e-34,-0.811253812419403,0.059,0.124,1.26814634172356e-29,PBDC1,B_cell
5.72798955004784e-34,-0.874793477705664,0.072,0.141,1.28558997461274e-29,UBA3,B_cell
5.74917592130373e-34,1.51816650968241,0.15,0.095,1.29034504377741e-29,ERI3,B_cell
5.98337061420279e-34,-0.913159951497228,0.072,0.141,1.34290770065167e-29,INSIG1,B_cell
6.12734831299872e-34,-0.750975465174293,0.074,0.144,1.37522205536943e-29,CNOT8,B_cell
6.41297549118173e-34,-1.09717846144062,0.05,0.111,1.43932821924083e-29,HTATSF1,B_cell
6.44845668070866e-34,-0.549214330985132,0.128,0.214,1.44729161741825e-29,MPG,B_cell
6.49501064459734e-34,-0.771741852105747,0.066,0.133,1.45774018907343e-29,PPP2R3C,B_cell
7.04381175564362e-34,-0.568530769698631,0.122,0.207,1.58091311043665e-29,PIM3,B_cell
7.77014258247071e-34,-0.937502671497928,0.076,0.146,1.74393080120973e-29,YWHAH,B_cell
7.80283121016689e-34,-0.560701365665982,0.136,0.224,1.75126743680986e-29,RCC1,B_cell
7.96240394058956e-34,-0.591931544170249,0.081,0.154,1.78708194042592e-29,TMED3,B_cell
8.30464783069013e-34,-1.15356609844922,0.046,0.105,1.86389515912009e-29,LINC01089,B_cell
8.55035697554571e-34,-0.188209586679617,0.136,0.23,1.91904211959148e-29,SEC11C,B_cell
8.66955425248668e-34,-0.494540148088703,0.094,0.172,1.94579475642811e-29,SUGT1,B_cell
