cell_type,n_cells,proportion
Alveolar_Macrophage,3152,0.304335232210099
B_cell,22,0.00212416722989283
Dendritic_cell,36,0.0034759100125519
Interstitial_Macrophage,7087,0.684271507193203
Monocyte,45,0.00434488751568987
Neutrophil,10,0.000965530559042194
NK_cell,3,0.000289659167712658
T_cell,2,0.000193106111808439
