cell_type,n_deg,n_deg_with_link,CPI
Monocyte,3149,2656,0.843442362654811
NK_cell,2046,1748,0.854349951124145
T_cell,2826,2341,0.828379334748762
DC,681,606,0.889867841409692
B_cell,3456,2737,0.791956018518519
