p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type,comparison
3.87155210410379e-16,-0.236958400928792,0.106,0.255,7.98739914597654e-12,PCK2,Alveolar_Macrophage,unin_hto_vs_unin3
3.92341217847387e-16,-0.177172775496586,0.114,0.263,8.09439166540944e-12,RAB5A,Alveolar_Macrophage,unin_hto_vs_unin3
4.38678464494806e-16,-0.510489067634897,0.056,0.171,9.05037540099235e-12,GAR1,Alveolar_Macrophage,unin_hto_vs_unin3
4.56080023556227e-16,-0.199721449864208,0.184,0.373,9.40938696598852e-12,TNFAIP8L2,Alveolar_Macrophage,unin_hto_vs_unin3
5.37915803763789e-16,-0.142535422091591,0.117,0.268,1.10977409474507e-11,FAM136A,Alveolar_Macrophage,unin_hto_vs_unin3
5.46036036405878e-16,-0.17624424398049,0.887,0.987,1.12652694670897e-11,HSP90AA1,Alveolar_Macrophage,unin_hto_vs_unin3
5.54674737075808e-16,-0.263902546155823,0.083,0.217,1.1443494500611e-11,GNL3,Alveolar_Macrophage,unin_hto_vs_unin3
5.58519448495228e-16,-0.144609738782322,0.199,0.397,1.15228147419051e-11,FXR1,Alveolar_Macrophage,unin_hto_vs_unin3
5.6308508113486e-16,-0.443453409676899,0.065,0.184,1.16170083088933e-11,COPS8,Alveolar_Macrophage,unin_hto_vs_unin3
5.6505756686726e-16,-0.226865949842755,0.726,0.954,1.16577026620384e-11,RPS25,Alveolar_Macrophage,unin_hto_vs_unin3
5.85293029655523e-16,-0.87648982875315,0.05,0.159,1.20751804948231e-11,ABRAXAS2,Alveolar_Macrophage,unin_hto_vs_unin3
6.19596830210516e-16,-0.58364163745685,0.076,0.201,1.27829022040732e-11,ERI1,Alveolar_Macrophage,unin_hto_vs_unin3
6.20566218061095e-16,-0.405673760534215,0.106,0.249,1.28029016448185e-11,RTCA,Alveolar_Macrophage,unin_hto_vs_unin3
6.2541645487866e-16,-0.113809788747436,0.359,0.641,1.29029668806016e-11,NCL,Alveolar_Macrophage,unin_hto_vs_unin3
6.64231565213231e-16,-0.228460431107287,0.44,0.731,1.37037614219142e-11,TLN1,Alveolar_Macrophage,unin_hto_vs_unin3
6.76712513238749e-16,-0.508625607202792,0.061,0.179,1.39612558606286e-11,FBXO6,Alveolar_Macrophage,unin_hto_vs_unin3
7.35897294767184e-16,-0.418172032418776,0.055,0.168,1.51822970883418e-11,FAM207A,Alveolar_Macrophage,unin_hto_vs_unin3
7.48905525377425e-16,-0.21174090700124,0.105,0.25,1.54506698940617e-11,MAP2K1,Alveolar_Macrophage,unin_hto_vs_unin3
7.63817733361177e-16,-0.324868119066655,0.074,0.2,1.57583236569744e-11,PYROXD1,Alveolar_Macrophage,unin_hto_vs_unin3
7.65395488573221e-16,-0.120442649385945,0.224,0.433,1.57908743247541e-11,MYADM,Alveolar_Macrophage,unin_hto_vs_unin3
7.83832258129371e-16,-0.153920310664147,0.317,0.586,1.61712433174671e-11,HSPD1,Alveolar_Macrophage,unin_hto_vs_unin3
8.25412876349234e-16,-0.138331177332301,0.102,0.244,1.7029093051961e-11,OARD1,Alveolar_Macrophage,unin_hto_vs_unin3
8.36591988370057e-16,-0.816901360154794,0.054,0.165,1.72597293120626e-11,GLCE,Alveolar_Macrophage,unin_hto_vs_unin3
8.39479985720932e-16,-0.131792891310642,0.979,1,1.73193115854085e-11,RPLP1,Alveolar_Macrophage,unin_hto_vs_unin3
8.4772297191725e-16,-0.175063950531078,0.121,0.271,1.74893726336248e-11,EIF4E,Alveolar_Macrophage,unin_hto_vs_unin3
8.60149356823932e-16,-0.672603919272245,0.075,0.198,1.77457413806346e-11,ARL14EP,Alveolar_Macrophage,unin_hto_vs_unin3
8.76740308546336e-16,-0.130455520130927,0.173,0.358,1.80880293056195e-11,ACO2,Alveolar_Macrophage,unin_hto_vs_unin3
8.81734384023579e-16,-0.187995859585657,0.868,0.981,1.81910620767905e-11,RPL35,Alveolar_Macrophage,unin_hto_vs_unin3
9.01841630033571e-16,-0.570882823233559,0.054,0.166,1.86058946692226e-11,PGM2,Alveolar_Macrophage,unin_hto_vs_unin3
9.31979289642031e-16,0.595907929287362,0.744,0.885,1.92276647246047e-11,LRP1,Alveolar_Macrophage,unin_hto_vs_unin3
9.70035144110239e-16,-0.35974126631331,0.052,0.162,2.00127950581383e-11,DCPS,Alveolar_Macrophage,unin_hto_vs_unin3
9.91415253524877e-16,-0.512436547951954,0.06,0.176,2.04538880954717e-11,MAGED2,Alveolar_Macrophage,unin_hto_vs_unin3
1.01695266145624e-15,-0.329010456492155,0.079,0.205,2.09807503585037e-11,TMEM42,Alveolar_Macrophage,unin_hto_vs_unin3
1.17855998041806e-15,-1.61248176473551,0.018,0.101,2.43148709560049e-11,TPPP,Alveolar_Macrophage,unin_hto_vs_unin3
1.25588728605972e-15,-0.227015399970593,0.102,0.244,2.59102105986982e-11,PIP4P1,Alveolar_Macrophage,unin_hto_vs_unin3
1.26419399487074e-15,-0.370527138183638,0.068,0.188,2.60815863081782e-11,C8orf76,Alveolar_Macrophage,unin_hto_vs_unin3
1.36047833893384e-15,-0.127397309995677,0.427,0.719,2.8068028610544e-11,RAB7A,Alveolar_Macrophage,unin_hto_vs_unin3
1.3620059103717e-15,-0.37069649275503,0.094,0.229,2.80995439368785e-11,C3orf38,Alveolar_Macrophage,unin_hto_vs_unin3
1.36880101627973e-15,-0.317939669194533,0.077,0.203,2.82397337668672e-11,PRELID3B,Alveolar_Macrophage,unin_hto_vs_unin3
1.39446819195032e-15,-0.147824763019343,0.518,0.825,2.87692732681271e-11,PPP1CA,Alveolar_Macrophage,unin_hto_vs_unin3
1.51576979658325e-15,1.54932092323272,0.427,0.387,3.12718466733091e-11,PLD3,Alveolar_Macrophage,unin_hto_vs_unin3
1.54672028513166e-15,-0.222974864306446,0.106,0.25,3.19103862025513e-11,RNF11,Alveolar_Macrophage,unin_hto_vs_unin3
1.58867553352782e-15,-0.122465336532253,0.396,0.696,3.27759649322124e-11,ITGB1,Alveolar_Macrophage,unin_hto_vs_unin3
1.59654350512642e-15,-0.42705399825258,0.072,0.194,3.29382890542632e-11,EBAG9,Alveolar_Macrophage,unin_hto_vs_unin3
1.68419417741738e-15,-0.224027511082011,0.105,0.248,3.4746610074298e-11,RUFY1,Alveolar_Macrophage,unin_hto_vs_unin3
1.76169224035896e-15,-0.187637049382503,0.088,0.222,3.63454726108456e-11,RPS17,Alveolar_Macrophage,unin_hto_vs_unin3
1.76726355232218e-15,-0.77478372486454,0.033,0.129,3.64604143479588e-11,DIMT1,Alveolar_Macrophage,unin_hto_vs_unin3
1.95639692682753e-15,-0.121861033349823,0.085,0.215,4.03624249973788e-11,SPTSSA,Alveolar_Macrophage,unin_hto_vs_unin3
2.04827267176106e-15,1.84317564404856,0.333,0.257,4.22579134911025e-11,ATG16L2,Alveolar_Macrophage,unin_hto_vs_unin3
2.13116219494892e-15,-0.216366107947377,0.119,0.268,4.39680072439913e-11,GNPDA1,Alveolar_Macrophage,unin_hto_vs_unin3
2.18148227108153e-15,-0.636934299880556,0.036,0.134,4.5006160734683e-11,AC005702.1,Alveolar_Macrophage,unin_hto_vs_unin3
2.20498789409285e-15,-0.1923731303887,0.458,0.743,4.54911052430295e-11,TPM4,Alveolar_Macrophage,unin_hto_vs_unin3
2.32354934420115e-15,-0.651796371532855,0.046,0.148,4.79371465202138e-11,MECR,Alveolar_Macrophage,unin_hto_vs_unin3
2.61314850333123e-15,-0.162500138296476,0.12,0.268,5.39118667722266e-11,CEBPZOS,Alveolar_Macrophage,unin_hto_vs_unin3
2.63066819945861e-15,-0.151206154961584,0.481,0.799,5.42733156230305e-11,ENO1,Alveolar_Macrophage,unin_hto_vs_unin3
2.63402563080803e-15,-0.425142701981248,0.08,0.206,5.43425827892004e-11,CCDC125,Alveolar_Macrophage,unin_hto_vs_unin3
2.70065258065279e-15,-0.822663469045685,0.021,0.106,5.57171633914477e-11,HSD17B8,Alveolar_Macrophage,unin_hto_vs_unin3
2.7145872622332e-15,-0.139373029058069,0.127,0.283,5.60046498071332e-11,EXOSC1,Alveolar_Macrophage,unin_hto_vs_unin3
2.73419287330173e-15,-0.676130424824533,0.036,0.133,5.64091331690879e-11,SPSB2,Alveolar_Macrophage,unin_hto_vs_unin3
2.77593608307524e-15,-0.385173246313757,0.085,0.214,5.72703373299253e-11,ARFIP1,Alveolar_Macrophage,unin_hto_vs_unin3
2.80029327825581e-15,-0.145792251764094,0.068,0.186,5.77728506236957e-11,KIAA1191,Alveolar_Macrophage,unin_hto_vs_unin3
3.09945278440883e-15,-1.45550274492817,0.02,0.102,6.39448103951387e-11,SPRYD7,Alveolar_Macrophage,unin_hto_vs_unin3
3.20446099010875e-15,-0.389894038669486,0.092,0.222,6.61112346869335e-11,TLR8,Alveolar_Macrophage,unin_hto_vs_unin3
3.21278216866503e-15,-0.270062128503187,0.08,0.206,6.62829089217282e-11,TMEM242,Alveolar_Macrophage,unin_hto_vs_unin3
3.22383888555255e-15,-0.252844242820521,0.107,0.25,6.65110200478347e-11,NAXE,Alveolar_Macrophage,unin_hto_vs_unin3
3.67330424283811e-15,-0.553861805760038,0.056,0.167,7.5783939833993e-11,SLC37A1,Alveolar_Macrophage,unin_hto_vs_unin3
3.68516199342672e-15,-0.603680467047633,0.049,0.154,7.60285770863867e-11,TMEM106C,Alveolar_Macrophage,unin_hto_vs_unin3
3.77725935480087e-15,-0.36382787584167,0.065,0.18,7.79286377488968e-11,RIPK2,Alveolar_Macrophage,unin_hto_vs_unin3
3.81503295002418e-15,-0.160467772020059,0.123,0.271,7.87079447919488e-11,API5,Alveolar_Macrophage,unin_hto_vs_unin3
4.06178655813e-15,-0.374477658399272,0.058,0.169,8.379871848078e-11,ASL,Alveolar_Macrophage,unin_hto_vs_unin3
4.16631228621545e-15,-0.115039844508908,0.151,0.318,8.5955188776911e-11,ACTR1A,Alveolar_Macrophage,unin_hto_vs_unin3
4.18045383906146e-15,-0.279400232634498,0.074,0.194,8.6246943153677e-11,PDHB,Alveolar_Macrophage,unin_hto_vs_unin3
4.33573057102192e-15,-0.169904195995799,0.126,0.276,8.94504574107532e-11,SRPRA,Alveolar_Macrophage,unin_hto_vs_unin3
4.43699288530127e-15,-0.210363882457429,0.091,0.223,9.15396002166504e-11,AASDHPPT,Alveolar_Macrophage,unin_hto_vs_unin3
4.7058920328905e-15,-0.336642609607293,0.094,0.226,9.70872585305639e-11,COQ10B,Alveolar_Macrophage,unin_hto_vs_unin3
4.73253293725001e-15,-0.370219401217601,0.074,0.194,9.76368870284048e-11,PAQR8,Alveolar_Macrophage,unin_hto_vs_unin3
4.73889650528934e-15,-0.682079466424491,0.062,0.175,9.77681738006244e-11,TPGS2,Alveolar_Macrophage,unin_hto_vs_unin3
4.9054978766003e-15,-0.174585972080964,0.099,0.234,1.01205326692141e-10,HTATSF1,Alveolar_Macrophage,unin_hto_vs_unin3
5.07583684774426e-15,-0.369053589162605,0.095,0.228,1.04719590005812e-10,TRIM69,Alveolar_Macrophage,unin_hto_vs_unin3
5.11746371378503e-15,0.779006704643797,0.614,0.718,1.05578393879099e-10,PHLDA3,Alveolar_Macrophage,unin_hto_vs_unin3
5.507822616673e-15,-0.15155077396118,0.383,0.665,1.13631888404581e-10,MFSD10,Alveolar_Macrophage,unin_hto_vs_unin3
5.57966454759134e-15,-0.670798339065197,0.054,0.162,1.15114059281357e-10,SNX8,Alveolar_Macrophage,unin_hto_vs_unin3
5.6994460748587e-15,-0.116647275694276,0.136,0.293,1.1758527197041e-10,TMX1,Alveolar_Macrophage,unin_hto_vs_unin3
5.98565704153735e-15,-0.27469376855294,0.091,0.222,1.23490090423957e-10,UBL4A,Alveolar_Macrophage,unin_hto_vs_unin3
6.21083362846948e-15,-0.408275700626352,0.048,0.152,1.28135708588954e-10,UMPS,Alveolar_Macrophage,unin_hto_vs_unin3
6.33881203863419e-15,-0.343054946574664,0.093,0.223,1.30776031169062e-10,ANP32E,Alveolar_Macrophage,unin_hto_vs_unin3
6.94802909747981e-15,-0.19121101060935,0.53,0.836,1.43344788310106e-10,PTPN6,Alveolar_Macrophage,unin_hto_vs_unin3
6.95717566882773e-15,-0.145835046437187,0.081,0.207,1.43533491223585e-10,UROS,Alveolar_Macrophage,unin_hto_vs_unin3
