cell_type,CPI,disease,CPI_percent
Alveolar Macrophage,0.776290006531679,TB (BAL),77.6
B cell,0.785566298342542,TB (BAL),78.6
Dendritic cell,0.812472837896567,TB (BAL),81.2
Interstitial Macrophage,0.775729131746564,TB (BAL),77.6
Monocyte,0.790572148254768,TB (BAL),79.1
Monocyte,0.843442362654811,TB (PBMC),84.3
NK cell,0.854349951124145,TB (PBMC),85.4
T cell,0.828379334748762,TB (PBMC),82.8
DC,0.889867841409692,TB (PBMC),89
B cell,0.791956018518519,TB (PBMC),79.2
